log_id,timestamp,user_id,username,authentication_method,source_ip,location,device_info,success,risk_level,mfa_status,failure_reason
f39649b7-ec47-4e00-b81a-dbb0362f89d6,2025-10-29T19:51:05.063288,560f0236-666b-45fe-ac9d-d76be479eab4,david.miller,password,192.168.1.101,"Berlin, DE",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,True,medium,not_required,
29b271e5-cd7e-460d-abcb-f3634d903d9a,2025-10-29T20:56:37.064405,d8487f75-6daa-4cc6-8d04-3ce74c4f16db,emma.davis,password,10.0.0.50,"Berlin, DE",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,True,low,verified,
e88d80e6-6e1c-4a36-b1ed-edb2d13d483f,2025-10-29T22:52:54.063079,84a4bb8b-157a-43eb-9ca7-eddbefc287c5,john.doe,password,100.64.0.50,"New York, US",Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,True,low,verified,
ff071aba-0669-4cae-bc68-80be2047a808,2025-10-29T23:12:23.062022,957de9d5-ab66-4ea9-8450-ff3c9711c0e5,grace.rodriguez,sso,100.64.0.50,"Toronto, CA",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,True,medium,not_required,
c1e8eee3-a6cf-46de-8812-0318d3e4b1d1,2025-10-30T00:56:17.064682,5f30d243-e0ff-474a-8a26-a5343fc2b6b7,frank.garcia,sso,192.168.1.101,"Berlin, DE",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,True,low,verified,
7eeaf855-7f55-4e78-ab57-b973596d609c,2025-10-30T01:06:39.062036,d8487f75-6daa-4cc6-8d04-3ce74c4f16db,emma.davis,biometric,192.168.1.100,"Sydney, AU",Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,False,high,not_required,invalid_password
800a6d5b-eaa8-45f0-9a6d-2205bd2cfef7,2025-10-30T01:45:59.064970,493e0bd1-6a81-4694-bb58-22b35a8d6722,bob.wilson,password,198.51.100.23,"Sydney, AU",Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/605.1.15,True,low,not_required,
0fa88039-a9f6-4cff-a8b5-d43a048b7502,2025-10-30T02:03:01.068150,bb4eaafa-6c28-4ffb-8063-aca25da21fd2,henry.martinez,password,192.168.1.100,"Toronto, CA",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,True,low,not_required,
73517d33-52e2-4632-9822-37a83b4ebefa,2025-10-30T03:04:37.063976,560f0236-666b-45fe-ac9d-d76be479eab4,david.miller,sso,10.0.0.50,"Paris, FR",Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,True,low,not_required,
a21065b5-6928-432a-92e8-fcfa7f4a994d,2025-10-30T03:40:09.062887,134feffd-2a65-4f09-b029-19af22b18637,charlie.brown,password,172.16.0.100,"Sydney, AU",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,True,medium,verified,
bf505e24-dde7-4682-85bd-73504d495e7a,2025-10-30T04:35:15.067368,d8487f75-6daa-4cc6-8d04-3ce74c4f16db,emma.davis,password,192.168.1.102,"Berlin, DE",Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,True,medium,not_required,
3d3fc8fe-e2ef-4e38-8c62-a6044896a0ac,2025-10-30T04:38:08.061913,493e0bd1-6a81-4694-bb58-22b35a8d6722,bob.wilson,biometric,198.51.100.23,"London, UK",Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,True,low,not_required,
ed83be23-30f5-4fba-86cf-733778552407,2025-10-30T05:22:55.063886,957de9d5-ab66-4ea9-8450-ff3c9711c0e5,grace.rodriguez,sso,10.0.0.50,"New York, US",Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/605.1.15,True,low,verified,
079e0a59-f42b-42bf-954e-ef2359fcaaf4,2025-10-30T05:37:54.064989,957de9d5-ab66-4ea9-8450-ff3c9711c0e5,grace.rodriguez,mfa,198.51.100.23,"Berlin, DE",Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X) AppleWebKit/605.1.15,True,low,not_required,
58f03557-b290-4377-86c7-519c52331f72,2025-10-30T06:37:19.068826,16a0abe7-5230-4970-9b55-a88000a808c6,alice.jones,password,10.0.0.50,"Paris, FR",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,True,low,not_required,
6e860b58-fdeb-4cf2-8072-8e92e1826499,2025-10-30T06:49:25.061819,134feffd-2a65-4f09-b029-19af22b18637,charlie.brown,sso,10.0.0.50,"London, UK",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,True,high,not_required,
40c7b00b-a48a-4634-bbd4-d628706d7bfe,2025-10-30T07:33:34.062029,493e0bd1-6a81-4694-bb58-22b35a8d6722,bob.wilson,biometric,203.0.113.45,"Toronto, CA",Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,True,low,verified,
