log_id,timestamp,protocol,source_ip,source_port,destination_ip,destination_port,bytes_sent,bytes_received,packets,action,flags,session_duration
49d03a6c-1eb2-42d6-a16e-c2571f0a37b6,2025-10-29T19:49:14.123841,TCP,192.168.1.100,14396,192.168.1.101,443,93354,34029,610,deny,"['SYN_FLOOD', 'PORT_SCAN', 'DDoS_ATTEMPT']",880
f22d471b-b987-4f19-a3b2-88bc7c47e429,2025-10-29T19:54:58.132510,TCP,10.0.0.50,22509,203.0.113.45,22,23450,13955,258,deny,"['SYN_FLOOD', 'PORT_SCAN', 'DDoS_ATTEMPT']",2580
ad8cdcd8-2dc5-4bbb-91ee-ba61f67cb1b8,2025-10-29T19:58:20.123239,TCP,100.64.0.50,43207,172.16.0.100,3306,68556,57894,981,allow,[],3168
c908e88e-a1fc-4865-836f-484ae9aad0dc,2025-10-29T20:21:08.128156,TCP,198.51.100.23,63286,203.0.113.45,3306,28512,72881,195,allow,[],3363
4fdb9110-8265-47e1-8ceb-d9a5a7acc44a,2025-10-29T20:49:10.125155,TCP,203.0.113.45,51225,192.168.1.102,80,56269,5981,814,allow,[],619
180bbf6b-bb6b-418f-bb53-dda09df66333,2025-10-29T21:00:41.134741,ICMP,192.168.1.102,5813,172.16.0.100,3306,48959,36548,349,allow,[],2113
98233e16-500e-43c8-9463-80324c20e207,2025-10-29T21:33:00.130253,ICMP,10.0.0.50,23669,10.0.0.50,22,33082,79475,948,allow,[],2125
df4a9e57-5695-4d19-bf27-687e2fc26e9a,2025-10-29T22:53:22.131891,ICMP,172.16.0.100,28520,198.51.100.23,22,85687,6405,914,allow,[],744
8feee144-b47b-482f-a89b-353dbefeab34,2025-10-29T23:13:31.124705,TCP,172.16.0.100,50418,100.64.0.50,80,6693,12740,404,allow,[],1
7c7fb832-e797-40e0-b299-0540b8679a9c,2025-10-29T23:19:16.126511,ICMP,192.168.1.102,25031,10.0.0.50,22,90408,62511,544,allow,[],3214
97865abe-d448-4962-b52e-9e7a05715723,2025-10-29T23:34:09.132019,ICMP,203.0.113.45,42737,10.0.0.50,80,47896,16151,362,allow,[],2597
3a3a3f2c-803e-4091-a0e7-9abf8cc49b05,2025-10-29T23:47:50.131114,ICMP,192.168.1.102,27183,192.168.1.101,5432,1164,79958,817,allow,[],2684
3ffaf561-f9fb-4ae6-a9ec-d48cabded656,2025-10-29T23:52:12.126524,TCP,192.168.1.100,20897,100.64.0.50,443,71422,83660,979,allow,[],1638
887080f7-058a-4952-8b72-0fa25b683575,2025-10-29T23:52:26.125605,TCP,100.64.0.50,4952,100.64.0.50,3306,88562,97788,532,allow,[],1142
7c0a5081-99db-4e52-8293-cd23d66d5125,2025-10-30T00:22:54.123067,TCP,192.168.1.100,1568,203.0.113.45,443,77991,95297,358,allow,[],393
82a25f7b-49a9-458c-a7e0-3360e485e8bd,2025-10-30T00:53:22.124965,TCP,192.168.1.102,2935,192.168.1.102,3306,12855,75190,802,allow,[],2294
d81221f8-582d-406d-b4da-e8c1a5d2e38b,2025-10-30T00:59:43.123711,TCP,192.168.1.102,39870,10.0.0.50,22,37292,41270,420,allow,[],493
b047fb58-47d7-48d2-82ec-f91bc1cc2477,2025-10-30T01:03:37.124751,TCP,192.168.1.102,5684,172.16.0.100,22,81650,84093,44,allow,[],3173
3c215e96-68ca-41ee-a91d-0e144b41cecf,2025-10-30T01:13:36.128683,UDP,172.16.0.100,43779,10.0.0.50,80,46897,53877,410,allow,[],1772
ac7506d7-40df-4a13-b4f6-87011c1634c5,2025-10-30T01:47:56.128815,TCP,192.168.1.100,50525,172.16.0.100,22,8004,10829,280,allow,[],2897
58610f4b-b04c-475e-b158-119b8fbbf5d5,2025-10-30T01:51:50.124107,TCP,203.0.113.45,50196,192.168.1.102,80,30561,38804,576,allow,[],2110
49eac601-935e-4c9c-a63e-bfbfaf2ad922,2025-10-30T01:53:15.122980,TCP,10.0.0.50,31659,172.16.0.100,443,12881,86276,961,deny,"['SYN_FLOOD', 'PORT_SCAN', 'DDoS_ATTEMPT']",3576
4c9b2045-3961-43a8-95fe-2b7485cef28b,2025-10-30T02:15:40.124193,TCP,10.0.0.50,18150,192.168.1.100,22,68824,9511,105,allow,[],433
33a211cd-505f-4971-b821-54adbb855f6b,2025-10-30T02:41:07.133135,TCP,100.64.0.50,9055,192.168.1.102,443,24082,8691,905,allow,[],3112
b8d3ce6d-f3ed-45b7-a3ff-444ad0a5b583,2025-10-30T02:45:28.135807,TCP,100.64.0.50,10042,203.0.113.45,443,25280,12442,556,allow,[],1879
c09c1513-d952-41f1-a29c-2a54e38724cb,2025-10-30T03:05:52.132027,UDP,198.51.100.23,11257,192.168.1.101,80,45398,30675,711,allow,[],3023
